Timestamp,Submitted by:,For Webpage:,Name of Presentation,"Date of Presentation (""Mmm YYYY"")",Presented at,"Author(s) (""FirstName LastName"", ...)",Presentation Link (make sure link is accessible to anyone),Event name,"Place of event (""City, StateAbbr"" or ""Virtual"")"
5/20/2020 11:28:07,Lisa Garbrecht,,Streamlining evaluation to minimize burden on educators and obtain accurate outcome data,3/26/2019,,Lisa Garbrecht,https://docs.google.com/presentation/d/1XBHRm3RmRok9GkbgpRgeS6Wi1FwvCJQn4V3gmKXMlQE/edit?usp=sharing_eil&ts=5ec557e9,"100Kin10 Summit, San Diego, CA",
5/20/2020 11:34:11,Lisa Garbrecht,,"Integrating evaluation and program design for sustained, statewide teacher professional development in STEM",10/27/2016,,Lisa Garbrecht,https://docs.google.com/presentation/d/16MKP6CJkyfFozgmuPnFtauRarjI18nUnF3yilD4LEO4/edit?usp=sharing,"American Evaluation Association Conference, Atlanta, Georgia",
5/20/2020 11:49:21,Lisa Garbrecht,,EPIC STEM Evaluation Services,11/18/2019,,Lisa Garbrecht,https://docs.google.com/presentation/d/1BX3C-CAW68s8A5xJMqWmb6klIPbxZX__4TB2bultk6A/edit?usp=sharing,"Greater Austin STEM Networking Forum, Austin, Texas",
6/1/2020 14:13:01,,,,,,,,,
6/1/2020 14:16:13,Carol,,"CAPE: A Framework for 
Assessing Equity in CS
",3/3/2020,,Carol L. Fletcher,https://docs.google.com/presentation/d/1S_UjIBYO8t53o1e7ltXp5zq3sMKE09PNo1M80rIZ2o4/edit#slide=id.p,"Code.org Partner Summit/ Arlington, TX",
6/8/2020 7:04:09,Ryan Torbey,,Ten Steps Towards K-12 CS District Success,2/5/2020,,"Ryan Torbey, John Owen, Carol Fletcher ",https://docs.google.com/presentation/d/1PdAZMBfaXWWfLvopf35-V-7rKNv6H4ymtm0ZWlFJIG0/edit?usp=sharing,"TCEA 2020 in Austin, TX",
6/8/2020 7:29:27,Ryan Torbey,,Expanding Computer Science Education in Texas,2/7/2019,,Ryan Torbey,https://docs.google.com/presentation/d/1SSenhRPN-LWBkJwksxLqKH9_yj0IwWr-Xd5LMivyYs0/edit?usp=sharing,"TCEA 2019 in San Antonio, TX ",
6/8/2020 7:41:28,Ryan Torbey,,From Collective Impact to Researcher-Practitioner Partnerships: Broadening Participation of Computer Science in Texas Schools,3/1/2019,,"Ryan Torbey, Jayce R. Warner, Carol L. Fletcher",https://drive.google.com/file/d/11VH_uNxy_yL_hM4Y1wHbopZQKPtH5eb9/view?usp=sharing,"SIGCSE 2019 in Minneapolis, MN",
6/8/2020 7:47:22,Ryan Torbey,,,,,,,,
6/8/2020 16:57:47,CArol,,,,,,,,
6/25/2020 14:15:55,Jayce Warner,,,,,,,,
6/25/2020 14:33:04,Jayce Warner,,,,,,,,
6/25/2020 14:49:34,Jayce Warner,,JAYCE SAID IT'S A PRESENTATION,,,,,,
6/25/2020 14:53:42,Jayce Warner,,JAYCE SAID IT'S A PRESENTATION,,,,,,
6/25/2020 15:03:49,Jayce Warner,,,,,,,,
6/25/2020 15:09:14,Jayce Warner,,JAYCE SAID IT'S A PRESENTATION,,,,,,
6/25/2020 15:13:25,Jayce Warner,,JAYCE SAID IT'S A PRESENTATION,,,,,,
7/7/2020 12:39:05,Jayce Warner,,,,,,,,
7/7/2020 12:43:14,Jayce Warner,,,,,,,,
9/11/2020 9:28:24,Carol,,Building the Next Generation Computing Workforce,9/10/2020,,Carol Fletcher,https://docs.google.com/presentation/d/13OpTuI7WdLZM6ElVx6dYlHRhDK3GK2reesxaa69nEiI/edit#slide=id.p,TACC STAR Industry Partner Meeting,
10/5/2020 9:49:11,,,,,,,,,
12/2/2020 13:43:58,Carol,,,,,,,,
12/2/2020 14:13:02,Carol,,,,,,,,
12/2/2020 14:17:44,Carol,,,,,,,,
12/2/2020 14:34:30,Carol,,Increasing Diversity in Computing: Sharing Good Practices,9/17/2019,,"Taylor, V, Ladner, R., Gates, A., Robinson, R., Howard, A., Fletcher, C., Gilbert, J., Fernandez, J., & Payton, J.",,"2020 Richard Tapia Celebration of Diversity in Computing Conference, Dallas, TX",
12/2/2020 14:35:59,CArol,,Collaborative Projects and Narratives on Broadening Participation in Computing,9/18/2020,,"Diaz, L., Forbes, J., Fletcher, C., Parker, M. ",Check Box for Tapia2020 ,"2020 Richard Tapia Celebration of Diversity in Computing Conference, Dallas, TX",
12/2/2020 14:39:10,carol,,"Lessons from the Field, Resources to Advance Broadening Participation in Computing Efforts",7/31/2020,,"Dunton, S., Fletcher, C., Goodhue, J., Franklin, C., Forbes, J.",,"PEARC'20: Practice and Experience in Advanced Research Computing Conference, Portland, OR. ",
12/3/2020 14:37:30,Carol,,,,,,,,
10/6/2021 10:39:59,Damian Hopkins,,,,,,,,
10/6/2021 11:55:44,Kirby Rankin,WeTeach_CS,Getting Started with Computer Science in a Small School,Jun 2021,"Region 15 STEAM Conference (San Angelo, TX)",Kirby Rankin,https://docs.google.com/presentation/d/19kX1U7tJrP-5kX9IUMzNo7NSF9Yt-bv2T0s4JLC1d8M/edit?usp=sharing,Region 15 STEAM Conference,"San Angelo, TX"
10/7/2021 8:08:01,Sheryl Roehl,WeTeach_CS,Computational Thinking,Jun 2021,"WeTeach_CS Summit (Austin, TX)",Sheryl Roehl,https://docs.google.com/presentation/d/1QhulwbYaP6VT_wHZ-eieZqH5M1TP4bezgGMaYz9XuhE/edit?usp=sharing,WeTeach_CS Summit,"Austin, TX"
10/8/2021 11:17:12,Sheryl Roehl,WeTeach_CS,WeTeach_CS and You Can Too,Feb 2021,CSTA (Virtual),Sheryl Roehl,https://docs.google.com/presentation/d/e/2PACX-1vSEqlMTO4EG1N78qTCmSDOJ-7UR5oh_kyRKMy8cgVRVHYSZ6ZcdE8S60PC0t43xAD_phDUpHm6RxyDm/pub?start=false&loop=false&delayms=3000&slide=id.p,CSTA,Virtual
10/8/2021 11:23:26,Sheryl Roehl,WeTeach_CS,Strategically Plan your CS Pathway with CSforALL SCRIPT,Jul 2021,"WeTeach_CS Summit (Austin, TX)",Sheryl Roehl,https://docs.google.com/presentation/d/13W09KDFSDum8ZFkVo7CGsmLNE0HLDuDQ/edit#slide=id.p1,WeTeach_CS Summit,"Austin, TX"
10/8/2021 11:30:38,Sheryl Roehl,WeTeach_CS,Hello World!  I Can Code!,Jun 2021,TCEA Elementary Conference (Virtual),Sheryl Roehl,https://docs.google.com/presentation/d/1xaAlh9kgspNlXTPgrl6VMsex-cQJkaOTtmfCffPnWvM/edit#slide=id.p,TCEA Elementary Conference,Virtual
10/11/2021 14:59:52,Carol Fletcher,Research,Increasing Diversity in Computing: Sharing of Good Practices. ,Sep 2021,Richard Tapia Celebration of Diversity in Computing Conference (Virtual),"Taylor, V., Ladner, R., Anderson-Herzog, M., Gilbert, J., Fletcher, C., Dubow, W., Tirres, A., Payton, J., Robinson, R. ",,Richard Tapia Celebration of Diversity in Computing Conference,Virtual
